PilotID, PilotName,Active
ab01369a205edd84d48b5079e4061e75,Lancer 1,
319669643b6e034aea963578caa8bbad,Skull 1-2 | [VAF] Tremor,
37f7ffef03b6c55dc6052fc753b5f9e5,Metal 1-1 41Sqn Will,
78432956f2cc361f1a5d74d947da167e,ConorGO70,
df253930497f3d3a81a98d3586293ecf,№15 | RAAVAN,
610835940295c596a574f8c31c8d5e94,JTFF | Wolf4Pm | 79th,
a450226ca342ba4235e5734f73989e9e,Jxckmc,
8c98e7d5563e509ab88c286c0b85959c,E-TF[103] n8d0g,
73d3bc0e07624ce53657866809fa5519,{TFT} Chewy ¦¦¦| wiv,
a90e85b1116f322b104472c2a59310dd,Vintage Pair,
88dae793ecd2d2ed030fbd6bca2297f7,JSW= Gimbal,TRUE
731654a98eda9f63a67c2411de4fd939,velcro,
cf1df73c0502e8d905ce4ee6f82801dc,Maddog,
20bdab189d2ab9e4e0f4b5a6829a2f0b,№20 | Obsidian,
83fb52d798ab1268cec36d4a8a2e98d3,№15 | Skinner,
21cf500349c9d53fb5998e043676b215,Dagger 2-2 Headless,
ce5daf7b948f6e509678cbad75a57b60,Nightmare,
6c977c9fc7ed1cdceb2ab823f0e0dab9,JSW=Phoenix,
c7bb99bb95435cc78bfcead6cc930a8a,Magnet,
4c4c8fdd5012037e1f00e409839fb6c1,Knight 3-1,
88fdb3444e57345f444412b038a51af1,{TFT} Rage ¦¦¦|○ Wi ♠,
4da948707c81803c50df197d916343d9,"E-TF[115] Gann ""Mayhem""",
7430c2504ffedcacdfc682c32a3abd15,Tyrant 3-4 | [VAF]Piggler,
0992572bff0fa0f359389e4bafde8c63,Ventura 60kts,
1a1cba06dd0066c82910007ab36a3c1f,JSW= Torchy,TRUE
83502c7ed1e1852a844498e714722f58,Ronin 4-1 41Sqn Geoff,
0d120e00ad4c327de88b6fb6add0cc74,{TFT} Jester ›,
d141cd17063a694b0af281ff0691ac57,(CAW.892) Boos RAFAIRUK,
fc0f968231ecb0c7eaa0228b1c7a5150,JSW= | Bull,
aeb76c3772ad285fa46de2f6ca9e68f7,№15 | Gunny,
